Stock quote and option quote for SPX on 4/9/26 09:07:21

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
6776.74, ,-6.07,6774.34, ,6779.50, ,<empty>,<empty>,6783.69,6783.69,6768.56

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
0,<empty>,<empty>,<empty>,--,,7002.28,5101.63,0,1

8 APR 26  (-1)  100 (Weeklys)

9 APR 26  (0)  100 (Weeklys)

10 APR 26  (1)  100 (Weeklys)
,,Volume,Open.Int,AS,BS,Last Size,LAST,LX,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,AS,BS,Last Size,LAST,LX,,
,,<empty>,14,10,10,1,465.75,C,466.10,C,469.70,C,10 APR 26,6310,.25,C,.30,C,3,"1,962",58,230,1,.30,C,,
,,<empty>,6,10,10,1,304.00,C,461.10,C,464.70,C,10 APR 26,6315,.25,C,.35,C,24,298,386,248,23,.30,C,,
,,<empty>,69,10,11,1,245.22,C,456.10,C,459.70,C,10 APR 26,6320,.25,C,.35,C,12,"2,370",353,417,1,.30,C,,
,,<empty>,32,2,10,2,445.55,C,450.90,C,454.30,C,10 APR 26,6325,.25,C,.35,C,111,"1,433",336,417,3,.32,C,,
,,<empty>,58,2,10,2,441.76,C,445.90,C,449.30,C,10 APR 26,6330,.25,C,.35,C,25,627,323,416,1,.30,C,,
,,<empty>,7,2,9,4,275.80,C,440.90,C,444.40,C,10 APR 26,6335,.30,C,.35,C,45,207,52,22,1,.30,C,,
,,<empty>,35,11,9,3,287.26,C,435.90,C,439.50,C,10 APR 26,6340,.30,C,.35,C,12,"1,016",125,115,1,.35,C,,
,,<empty>,40,2,9,3,282.71,C,430.90,C,434.40,C,10 APR 26,6345,.30,C,.35,C,7,279,89,183,1,.33,C,,
,,1,181,2,9,1,430.86,C,425.90,C,429.40,C,10 APR 26,6350,.30,C,.35,C,132,"5,318",77,210,43,.35,C,,
,,1,35,9,9,1,425.87,C,421.10,C,424.80,C,10 APR 26,6355,.30,C,.40,C,6,263,369,228,1,.37,C,,
,,1,155,9,9,1,413.40,C,416.10,C,419.80,C,10 APR 26,6360,.30,C,.40,C,4,482,323,363,1,.30,C,,
,,<empty>,29,9,9,1,387.83,C,411.10,C,414.80,C,10 APR 26,6365,.30,C,.40,C,19,210,360,317,1,.35,C,,
,,<empty>,62,9,9,2,407.58,C,406.20,C,409.80,C,10 APR 26,6370,.30,C,.40,C,25,"1,033",203,390,1,.35,C,,
,,<empty>,266,13,2,1,381.61,C,401.10,C,404.50,C,10 APR 26,6375,.35,C,.40,C,819,"3,795",93,56,100,.40,C,,
,,23,113,2,9,1,393.57,C,396.00,C,399.40,C,10 APR 26,6380,.35,C,.40,C,36,"3,726",100,130,2,.40,C,,
,,23,123,2,9,1,387.59,C,391.00,C,394.40,C,10 APR 26,6385,.35,C,.45,C,27,590,359,203,12,.40,C,,
,,1,129,2,9,1,383.62,C,386.00,C,389.40,C,10 APR 26,6390,.35,C,.45,C,58,"1,926",321,238,1,.39,C,,
,,3,52,2,9,2,385.87,C,381.00,C,384.50,C,10 APR 26,6395,.35,C,.45,C,12,304,317,348,1,.43,C,,
,,<empty>,"1,166",5,10,10,379.80,C,376.60,C,380.00,C,10 APR 26,6400,.35,C,.45,C,248,"9,742",207,391,1,.40,C,,
,,<empty>,32,2,10,1,169.34,C,371.10,C,374.40,C,10 APR 26,6405,.40,C,.45,C,7,931,169,55,1,.50,C,,
,,7,371,5,3,5,368.57,C,366.20,C,369.50,C,10 APR 26,6410,.40,C,.45,C,9,"1,290",87,132,1,.45,C,,
,,5,59,10,11,5,363.59,C,361.30,C,364.80,C,10 APR 26,6415,.40,C,.50,C,22,"2,818",310,240,1,.45,C,,
,,<empty>,210,5,13,4,357.93,C,356.20,C,359.50,C,10 APR 26,6420,.40,C,.50,C,36,"2,605",341,357,1,.48,C,,
,,<empty>,108,10,10,2,341.80,C,351.30,C,354.80,C,10 APR 26,6425,.40,C,.50,C,"5,080","1,247",210,390,2,.50,C,,
,,30,208,5,3,22,344.49,C,346.30,C,349.50,C,10 APR 26,6430,.45,C,.50,C,77,"1,176",146,112,1,.53,C,,
,,<empty>,39,2,10,1,351.92,C,341.20,C,344.40,C,10 APR 26,6435,.45,C,.55,C,11,304,303,184,1,.50,C,,
,,<empty>,221,5,13,1,337.14,C,336.80,C,340.10,C,10 APR 26,6440,.45,C,.55,C,137,"1,732",349,227,1,.55,C,,
,,<empty>,105,2,10,1,328.07,C,331.20,C,334.50,C,10 APR 26,6445,.45,C,.55,C,22,408,166,344,4,.55,C,,
,,4,980,15,10,1,330.92,C,326.80,C,330.20,C,10 APR 26,6450,.50,C,.55,C,"3,035","4,880",85,116,3,.52,C,,
,,<empty>,61,2,10,1,330.78,C,321.30,C,324.50,C,10 APR 26,6455,.50,C,.60,C,20,830,333,233,1,.57,C,,
,,30,234,5,10,22,314.57,C,316.40,C,319.50,C,10 APR 26,6460,.50,C,.60,C,202,670,162,334,2,.57,C,,
,,1,118,10,10,1,290.53,C,311.30,C,314.70,C,10 APR 26,6465,.55,C,.60,C,13,392,83,13,1,.57,C,,
,,10,246,13,13,1,296.95,C,306.40,C,309.80,C,10 APR 26,6470,.55,C,.65,C,277,"1,012",331,220,5,.60,C,,
,,<empty>,413,13,13,2,302.80,C,301.40,C,304.80,C,10 APR 26,6475,.55,C,.65,C,814,"1,130",215,326,1,.60,C,,
,,<empty>,324,10,3,1,300.82,C,296.50,C,299.80,C,10 APR 26,6480,.60,C,.65,C,220,835,79,53,1,.72,C,,
,,5,78,10,10,5,288.07,C,291.50,C,294.80,C,10 APR 26,6485,.60,C,.70,C,50,"2,183",334,236,2,.65,C,,
,,7,189,10,10,1,290.16,C,286.40,C,289.80,C,10 APR 26,6490,.65,C,.70,C,57,"1,115",164,41,2,.64,C,,
,,<empty>,48,10,10,1,287.61,C,281.50,C,284.90,C,10 APR 26,6495,.65,C,.75,C,32,455,278,198,1,.70,C,,
,,2,"1,460",3,13,1,275.77,C,277.00,C,280.30,C,10 APR 26,6500,.70,C,.75,C,"1,036","6,771",183,15,3,.69,C,,
,,4,86,10,10,1,272.66,C,271.60,C,274.90,C,10 APR 26,6505,.70,C,.80,C,45,333,267,196,2,.72,C,,
